Age,BMI,Blood_Pressure_Systolic,Blood_Pressure_Diastolic,Cholesterol_Level,Glucose_Level,Genetic_Risk_Score,Gender_Male,Gender_Other,Smoking_Status_Former,Smoking_Status_Never,Alcohol_Consumption_Moderate,Physical_Activity_Level_Low,Physical_Activity_Level_Moderate,Family_History_Yes,Previous_Diagnosis_Pre-disease
-0.7191904,-2.6945484,-1.8158431,-0.083627716,-1.2578348,-2.3032458,0.8399258,-0.25198022,0.0037368557,0.5058997,-3.1750257,0.29833338,-0.82356805,-0.0646032,0.3162892,0.054646976
-0.04666353,2.9502714,-1.7369231,-0.45269153,-2.0744808,0.8430755,-0.9802439,-0.30077487,0.013500986,1.8688664,2.2713444,0.21253504,-1.5232067,0.11955184,0.32149023,-0.20293659
-0.49671167,3.7189221,1.4824365,0.020634675,-2.4138963,-3.306151,-0.8655478,-0.010819215,-0.0060842047,0.6737378,-3.8719182,0.14479524,1.452394,0.11724158,0.3591407,0.45965818
-0.7907684,-3.818183,-1.5977441,-0.12715784,-1.8372622,0.5073744,-0.3191807,0.35321915,0.0028088605,0.6251061,-3.8476977,-0.92511106,1.3998592,1.1195429e-05,0.413292,-0.008179087
0.055739544,-3.712686,1.7386607,0.17128785,2.0076606,0.3148062,0.32660937,0.12757313,0.0068892725,1.7057328,1.7205975,0.51274526,-1.1116751,0.034961585,0.37416068,0.060193807
-0.0667275,3.495896,0.6887324,-1.4049141,-3.2351677,0.66134703,-0.58750653,0.07637968,-0.00454594,0.6128979,-3.3925915,0.4153845,0.7115738,0.02696056,0.38108608,-0.3844147
-1.2306463,-3.3863282,-1.8690962,-0.49212545,1.1569837,0.2932361,1.5207884,-0.12852257,0.005226246,-3.6388557,0.79610115,0.31927198,2.5337398,0.10471846,-1.0490973,0.27639142
-0.42316693,-2.8111262,-1.2810265,-0.3966809,-1.6807259,-1.8689082,-0.74534816,-0.25611487,0.0063254535,-2.857934,0.6084191,0.25772727,-0.27596754,-0.043897413,0.25900742,-0.02630019
-0.015684368,-4.112135,1.1452206,-0.7534435,1.2289156,-2.9773326,1.2726102,-0.24823293,0.0024479467,0.5248564,-4.344116,-0.38742468,0.85944164,0.045838207,0.38418385,-0.40722007
-0.810838,3.1947854,1.4933107,0.109993935,-2.5167854,0.7982092,-0.62465423,0.029836422,0.010916145,-2.8434443,1.0786945,0.34289435,1.7568874,0.11674284,-1.4322453,-0.34707877
